aX,aY,aZ,gX,gY,gZ
0.543,-0.277,-1.834,-343.872,-103.638,-93.323
0.506,-0.244,-1.593,-383.240,-118.896,-110.962
0.490,-0.280,-1.477,-405.518,-122.070,-115.784
0.540,-0.481,-1.202,-445.435,-119.690,-139.221
0.474,-0.715,-0.717,-489.014,-84.167,-177.490
0.384,-0.826,-0.437,-508.972,-67.932,-196.899
0.288,-1.000,0.273,-528.992,-64.819,-209.778
0.193,-1.029,0.636,-528.259,-70.251,-213.379
0.104,-0.983,1.116,-501.282,-117.310,-191.284
0.135,-0.992,1.262,-475.464,-145.569,-173.035
0.410,-1.174,1.279,-433.960,-174.438,-147.461
0.494,-1.275,1.292,-426.514,-173.035,-146.606
0.507,-1.773,1.355,-411.316,-156.128,-162.415
0.172,-2.079,1.600,-426.331,-106.262,-199.951
-0.071,-2.110,1.816,-434.998,-87.646,-207.397
-0.312,-2.017,2.200,-425.049,-76.050,-194.702
-0.382,-1.888,2.374,-416.687,-66.589,-187.195
-0.517,-1.517,2.628,-396.790,-40.405,-188.599
-0.854,-1.236,3.038,-374.756,-8.545,-174.316
-1.131,-0.911,3.192,-291.687,-124.756,-141.296
-1.180,-0.628,3.211,-213.135,-175.842,-77.698
-1.036,-0.308,3.049,-176.086,-168.091,-47.241
-0.781,-0.163,2.792,-117.310,-119.141,-10.559
-0.676,-0.102,2.604,-93.567,-85.144,-6.042
-0.576,-0.040,2.342,-52.612,-44.189,-0.732
-0.451,-0.003,2.208,-33.569,-37.292,4.333
-0.363,-0.025,1.876,-1.709,-39.185,4.028
-0.382,-0.057,1.708,8.850,-45.410,2.930
-0.396,-0.071,1.547,14.954,-50.049,2.563
-0.452,-0.068,1.322,15.869,-51.636,1.038
-0.476,-0.047,1.250,13.000,-49.377,0.793
-0.482,0.017,1.157,11.169,-52.368,2.441
-0.453,0.026,1.118,8.301,-53.284,4.089
-0.363,0.048,1.079,0.977,-33.752,1.343
-0.369,0.035,1.076,-5.676,-24.597,-2.258
-0.383,0.023,1.089,-11.963,-20.630,-5.371
-0.390,0.013,1.141,-22.217,-18.738,-10.498
-0.421,0.016,1.191,-25.452,-16.907,-13.184
-0.478,0.030,1.251,-27.405,-15.930,-12.573
-0.483,0.048,1.276,-27.222,-15.869,-11.475
-0.450,0.065,1.276,-23.010,-12.756,-7.690
-0.439,0.067,1.272,-20.386,-8.850,-7.141
-0.428,0.065,1.261,-17.395,2.563,-5.493
-0.407,0.060,1.244,-15.076,5.798,-2.686
-0.380,0.064,1.227,-13.062,6.409,-1.648
-0.349,0.059,1.191,-7.935,6.165,2.625
-0.324,0.064,1.172,-6.714,5.676,3.540
-0.274,0.058,1.124,-4.211,3.479,4.944
-0.251,0.061,1.105,-0.854,4.456,5.798
-0.244,0.058,1.080,-1.221,3.296,4.395
-0.222,0.061,1.054,-3.967,6.470,2.075
-0.226,0.062,1.052,-3.723,7.874,2.563
-0.221,0.064,1.049,-3.906,9.583,0.916
-0.218,0.065,1.034,-3.479,10.986,-0.977
-0.221,0.068,1.029,-3.113,11.047,-2.075
-0.223,0.071,1.022,-2.747,10.132,-2.502
-0.227,0.060,0.995,-2.258,8.240,-2.686
-0.253,0.058,0.982,-1.709,6.165,-2.441
-0.281,0.061,0.945,-2.197,3.479,-2.136
-0.272,0.068,0.945,-1.648,5.005,-1.648
-0.268,0.075,0.948,-2.380,6.104,-2.075
-0.249,0.073,0.931,-1.953,10.376,-2.563
-0.246,0.083,0.929,-3.113,11.414,-3.113
-0.238,0.092,0.926,-5.249,9.521,-2.930
-0.232,0.104,0.926,-5.676,6.897,-4.211
-0.252,0.094,0.928,-5.432,4.456,-4.211
-0.289,0.088,0.928,-5.310,2.686,-4.822
-0.292,0.092,0.925,-6.714,3.174,-4.761
-0.308,0.092,0.925,-8.545,2.686,-6.714
-0.315,0.095,0.929,-9.338,2.502,-5.737
-0.317,0.095,0.933,-10.193,1.648,-5.371
-0.313,0.091,0.934,-10.254,-0.977,-4.028
-0.321,0.095,0.935,-11.108,-0.366,-4.028
