aX,aY,aZ,gX,gY,gZ
-1.185,-0.506,1.484,-88.440,-182.068,-3.052
-0.988,-0.463,1.272,-72.327,-206.116,18.127
-0.878,-0.442,1.169,-66.772,-216.309,26.794
-0.722,-0.522,0.936,-62.866,-229.126,44.922
-0.669,-0.615,0.975,-68.848,-225.525,55.237
-0.549,-0.708,1.357,-83.618,-221.619,79.407
-0.438,-0.731,1.497,-74.524,-221.619,102.051
-0.089,-0.729,1.695,-66.528,-216.187,113.037
0.363,-0.746,1.718,-46.570,-195.435,129.761
0.588,-0.716,1.700,-39.063,-186.462,134.705
0.851,-0.630,1.804,-25.757,-169.983,132.629
1.328,-0.686,1.724,-13.367,-164.246,132.019
1.460,-0.588,1.687,2.747,-186.462,108.154
1.329,-0.656,1.758,1.160,-178.955,101.257
1.187,-0.643,1.777,9.094,-165.283,94.177
0.942,-0.604,1.859,16.418,-148.254,103.699
0.907,-0.543,1.906,25.696,-137.024,105.774
1.027,-0.454,1.807,23.193,-92.712,101.868
1.068,-0.381,1.718,25.452,-75.317,107.117
1.113,-0.294,1.649,32.104,-43.091,104.858
1.136,-0.267,1.604,34.241,-32.349,102.905
1.099,-0.201,1.489,37.170,-25.696,89.600
0.970,-0.191,1.679,37.842,-18.860,82.153
0.848,-0.209,1.613,54.260,-31.677,78.796
0.792,-0.169,1.561,58.411,-31.494,78.308
0.710,-0.159,1.605,56.152,-20.813,74.097
0.582,-0.151,1.581,63.843,-9.155,77.393
0.557,-0.117,1.555,67.505,-2.502,81.299
0.582,-0.068,1.423,74.158,13.611,86.792
0.568,-0.044,1.422,74.097,25.635,87.524
0.596,-0.020,1.325,79.346,26.367,90.210
0.605,0.025,1.225,79.163,33.936,90.698
0.566,0.023,1.193,76.294,36.865,87.769
0.487,0.042,1.145,73.853,40.833,86.670
0.491,0.052,1.100,71.777,41.626,87.585
0.478,0.056,1.053,70.313,41.687,87.219
0.483,0.031,0.966,62.805,46.387,85.571
0.513,0.008,0.927,58.472,47.424,84.412
0.550,-0.016,0.901,53.223,47.058,83.740
0.633,-0.045,0.947,41.809,49.438,82.642
0.672,-0.025,1.010,37.537,51.575,82.886
0.703,-0.058,1.151,36.926,59.143,79.346
0.667,-0.087,1.176,39.490,59.265,79.346
0.634,-0.102,1.177,42.114,57.800,78.308
0.595,-0.115,1.105,47.485,51.025,78.369
0.609,-0.111,1.048,50.415,49.316,78.735
0.637,-0.115,1.010,49.988,44.739,74.768
0.646,-0.127,0.985,49.011,42.358,71.594
0.673,-0.122,0.974,48.828,36.194,68.359
0.749,-0.139,0.927,47.424,32.227,61.157
0.775,-0.136,0.955,45.288,29.114,55.969
0.837,-0.136,0.985,47.363,27.161,45.105
0.842,-0.135,0.991,47.302,26.489,37.537
0.827,-0.150,0.960,48.645,21.118,32.654
0.786,-0.164,0.879,50.842,9.521,24.170
0.779,-0.149,0.878,52.429,9.277,21.667
0.763,-0.137,0.883,51.453,7.141,14.343
0.696,-0.136,0.858,50.354,7.385,10.681
0.665,-0.147,0.823,49.561,9.399,9.460
0.696,-0.132,0.795,45.410,16.479,8.606
0.726,-0.124,0.804,43.091,20.386,7.324
0.741,-0.148,0.809,41.809,23.621,4.150
0.791,-0.154,0.771,39.795,23.804,0.427
0.819,-0.144,0.778,38.879,24.780,-3.296
0.842,-0.130,0.778,39.246,24.963,-9.094
0.837,-0.133,0.731,38.208,25.146,-19.775
0.817,-0.113,0.734,37.598,26.794,-23.560
0.788,-0.077,0.727,34.607,31.067,-32.227
0.772,-0.066,0.715,33.081,33.142,-35.645
0.671,-0.013,0.732,28.992,33.264,-44.128
0.671,-0.021,0.691,28.381,33.325,-48.706
0.598,-0.010,0.703,27.527,37.476,-51.636
0.549,0.018,0.625,25.146,37.231,-56.213
0.519,0.026,0.599,22.827,36.743,-58.105
0.481,0.076,0.563,16.602,35.767,-62.439
0.473,0.112,0.567,13.184,35.645,-63.477
0.477,0.125,0.566,10.742,36.499,-65.918
0.444,0.149,0.552,4.333,38.208,-71.045
0.428,0.169,0.547,1.587,41.199,-73.975
0.392,0.167,0.547,-5.310,46.021,-80.933
0.371,0.156,0.556,-8.240,46.753,-84.351
0.348,0.164,0.570,-12.390,48.218,-85.876
0.307,0.153,0.616,-19.226,51.331,-89.905
0.274,0.138,0.628,-22.827,51.819,-91.309
0.190,0.134,0.691,-27.832,45.776,-91.064
0.159,0.142,0.713,-28.748,45.654,-90.149
0.134,0.149,0.729,-31.738,48.828,-88.074
0.089,0.159,0.772,-31.555,50.171,-87.280
0.072,0.154,0.763,-30.457,49.622,-86.182
0.054,0.114,0.726,-29.297,51.147,-83.191
0.067,0.103,0.728,-30.029,49.622,-81.787
0.058,0.089,0.732,-29.663,44.312,-81.299
-0.021,-0.024,0.735,-30.457,42.725,-81.726
-0.093,-0.040,0.830,-33.203,34.607,-80.811
-0.106,-0.051,0.864,-33.630,30.457,-81.238
-0.124,-0.076,0.891,-28.503,20.264,-79.224
-0.131,-0.081,0.889,-24.780,13.245,-78.735
-0.124,-0.069,0.892,-20.203,8.972,-76.721
-0.125,-0.058,0.862,-17.212,7.935,-75.806
-0.132,-0.061,0.816,-15.991,7.812,-74.341
-0.162,-0.074,0.826,-19.104,11.658,-70.984
-0.188,-0.067,0.833,-20.081,10.742,-69.763
-0.230,-0.042,0.857,-23.560,12.512,-66.956
-0.278,-0.058,0.881,-23.132,11.902,-68.481
-0.344,-0.086,0.892,-22.766,8.301,-67.566
-0.371,-0.066,0.904,-25.574,6.287,-65.918
-0.456,-0.094,0.947,-27.100,4.883,-65.735
-0.525,-0.105,0.961,-27.161,0.732,-64.575
-0.569,-0.086,1.000,-28.687,-9.216,-58.960
-0.583,-0.071,1.033,-28.748,-11.414,-57.007
-0.621,-0.071,1.105,-27.710,-15.198,-49.927
-0.637,-0.060,1.130,-27.405,-16.785,-45.532
-0.619,-0.045,1.165,-23.926,-19.104,-35.217
-0.596,-0.016,1.167,-22.034,-20.691,-29.907

-1.277,-0.955,0.436,-174.377,-13.184,-191.772
-1.343,-0.977,0.492,-174.866,-8.789,-175.537
-1.306,-0.931,0.608,-175.781,-4.944,-140.564
-1.272,-0.922,0.635,-173.645,-10.254,-128.601
-1.200,-0.896,0.637,-168.884,-39.001,-111.267
-1.232,-0.951,0.710,-167.419,-54.810,-106.995
-1.340,-1.011,1.093,-166.199,-90.332,-99.304
-1.407,-1.047,1.287,-159.302,-110.291,-95.093
-1.615,-1.173,1.735,-135.803,-140.259,-80.200
-1.773,-1.166,2.022,-101.257,-163.696,-45.410
-1.786,-1.157,2.021,-76.111,-176.392,-24.719
-1.665,-1.135,1.838,-25.696,-193.237,22.888
-1.526,-1.123,1.658,-4.822,-198.669,45.837
-1.169,-1.081,1.288,24.597,-198.303,89.111
-0.939,-1.081,1.100,33.386,-198.242,106.689
-0.443,-1.002,0.777,36.255,-203.064,134.949
-0.186,-0.897,0.665,33.203,-208.008,144.836
0.274,-0.740,0.510,20.325,-212.280,144.714
0.505,-0.728,0.435,10.803,-207.703,140.808
1.166,-0.723,0.541,-9.094,-199.707,135.986
1.137,-0.638,0.855,-29.907,-219.421,103.577
1.144,-0.599,1.190,-38.025,-193.359,109.619
1.265,-0.632,1.324,-38.269,-182.434,97.961
1.162,-0.706,1.479,-27.100,-160.828,94.727
1.070,-0.732,1.634,-26.550,-149.048,91.492
1.099,-0.674,1.596,-8.728,-144.287,89.783
1.086,-0.633,1.630,-7.385,-130.432,88.989
1.114,-0.600,1.660,-2.441,-115.479,92.468
1.160,-0.495,1.794,11.597,-98.328,95.032
1.242,-0.430,1.833,26.672,-98.450,98.389
1.232,-0.314,1.897,45.349,-87.830,92.957
1.189,-0.292,1.978,50.232,-79.895,87.402
1.075,-0.271,1.916,69.336,-63.171,83.313
1.063,-0.241,1.886,79.529,-54.565,85.510
1.030,-0.216,1.844,87.524,-46.875,87.219
1.006,-0.153,1.802,94.116,-18.982,85.999
1.028,-0.135,1.674,105.164,-16.846,85.205
1.011,-0.125,1.614,111.267,2.014,82.092
0.958,-0.118,1.597,114.563,7.690,80.994
0.866,-0.083,1.532,119.141,17.822,77.515
0.803,-0.073,1.503,120.850,24.170,75.562
0.741,-0.050,1.468,122.253,29.846,75.073
0.670,-0.014,1.388,123.413,38.879,74.768
0.641,0.004,1.362,122.986,44.250,74.829
0.607,0.047,1.269,126.404,47.363,74.158
0.593,0.065,1.187,127.441,46.570,73.486
0.547,0.081,1.118,127.625,46.021,73.364
0.527,0.097,1.004,124.817,45.471,78.247
0.550,0.106,0.964,121.338,49.255,80.872
0.593,0.052,0.881,112.671,57.312,84.106
0.652,0.021,0.846,106.750,63.171,86.792
0.703,-0.004,0.828,101.440,67.261,88.745
0.844,-0.015,0.845,89.478,68.115,85.632
0.904,-0.014,0.851,85.449,65.613,82.458
0.992,0.017,0.821,79.529,53.833,70.618
1.005,0.024,0.828,76.050,46.875,61.890
0.990,0.036,0.836,73.364,41.199,54.382
0.919,0.008,0.761,68.176,25.818,39.856
0.878,0.009,0.730,63.904,21.423,34.729
0.836,0.011,0.729,52.490,20.142,26.611
0.722,-0.012,0.799,47.852,24.292,24.353
0.682,-0.038,0.830,44.800,29.907,24.902
0.694,-0.081,0.837,41.138,43.701,28.015
0.736,-0.090,0.834,39.734,49.500,29.602
0.788,-0.118,0.827,39.368,56.885,30.396
0.917,-0.115,0.856,36.072,65.979,26.855
0.955,-0.105,0.850,37.537,68.726,22.583
1.007,-0.102,0.772,39.673,67.505,8.057
