aX,aY,aZ,gX,gY,gZ
0.527,0.883,-0.143,-128.601,8.362,-34.912
0.429,0.820,-0.095,-125.183,4.822,-31.677
0.397,0.840,-0.098,-120.972,3.052,-29.724
0.465,0.797,-0.093,-116.272,-1.038,-25.269
0.497,0.771,-0.021,-110.901,0.610,-23.010
0.552,0.782,-0.040,-98.755,17.334,-13.855
0.581,0.802,-0.029,-94.360,27.771,-8.118
0.646,0.769,-0.035,-85.449,49.011,0.122
0.674,0.745,-0.023,-83.496,60.425,2.319
0.690,0.716,-0.011,-80.505,69.153,0.549
0.452,0.682,0.051,-77.393,78.491,-6.470
0.339,0.657,0.130,-74.707,81.177,-5.493
0.297,0.641,0.146,-64.758,93.750,11.658
0.427,0.649,0.071,-58.411,103.577,21.301
0.560,0.659,-0.016,-53.833,109.985,24.902
0.782,0.662,-0.125,-49.927,114.624,17.578
0.864,0.641,-0.159,-49.072,114.807,7.507
0.913,0.545,-0.107,-48.950,103.149,-25.391
0.781,0.532,-0.066,-46.570,90.637,-47.974
0.411,0.463,-0.014,-36.194,71.533,-77.698
0.264,0.476,-0.038,-30.273,70.496,-79.285
0.049,0.485,-0.165,-23.560,86.365,-66.406
0.032,0.457,-0.200,-24.780,102.905,-52.490
0.053,0.416,-0.180,-27.222,138.062,-26.855
-0.021,0.349,-0.094,-26.672,150.879,-17.822
-0.034,0.334,-0.121,-24.902,177.063,1.526
0.229,0.365,-0.324,-30.029,181.763,5.249
0.257,0.332,-0.269,-36.621,179.382,-2.075
0.008,0.248,-0.072,-42.725,186.401,-12.207
-0.094,0.232,0.021,-43.701,192.566,-7.568
-0.128,0.215,0.145,-37.415,201.294,6.958
-0.070,0.199,0.211,-32.593,200.806,12.817
-0.015,0.185,0.300,-13.794,192.200,16.663
-0.019,0.238,0.282,-2.563,186.951,15.503
0.004,0.247,0.241,9.949,172.974,14.282
0.028,0.269,0.255,14.099,166.809,14.587
0.054,0.254,0.216,18.494,163.025,13.489
0.027,0.287,0.189,25.391,153.625,5.676
-0.070,0.276,0.219,28.381,144.775,0.183
-0.122,0.280,0.235,33.508,137.390,-2.991
-0.265,0.345,0.224,45.593,116.028,-9.766
-0.327,0.389,0.213,49.805,109.131,-9.155
-0.328,0.399,0.184,54.565,96.497,-3.052
-0.291,0.406,0.177,58.350,93.445,1.465
-0.232,0.415,0.150,67.078,97.534,14.526
-0.004,0.468,-0.001,68.481,96.008,16.052
0.056,0.451,-0.053,69.763,88.989,13.916
0.046,0.475,-0.113,75.928,73.792,1.526
-0.022,0.540,-0.115,77.881,68.420,-3.052
-0.222,0.651,-0.142,79.590,60.486,-6.897
-0.327,0.732,-0.182,77.698,60.913,-3.296
-0.356,0.737,-0.218,73.364,63.843,5.615
-0.394,0.849,-0.285,63.660,81.909,29.663
-0.380,0.842,-0.249,56.213,91.309,42.603
-0.213,0.793,-0.187,48.828,104.675,65.430
-0.100,0.737,-0.146,49.561,107.117,71.533
0.047,0.761,-0.249,59.937,103.577,69.336
0.101,0.809,-0.342,62.744,94.299,61.096
0.142,0.798,-0.368,62.012,79.895,49.011
-0.010,0.864,-0.326,62.073,62.073,25.330
-0.185,0.869,-0.312,59.998,60.791,20.325
-0.370,0.836,-0.169,57.495,62.256,27.649
-0.412,0.837,-0.124,58.899,63.049,33.936
-0.451,0.850,-0.108,61.218,63.843,40.222
-0.346,0.847,-0.121,63.721,60.608,54.688
-0.304,0.854,-0.141,65.796,56.335,60.852
-0.102,0.860,-0.260,72.632,41.443,66.345
0.044,0.860,-0.357,74.585,32.471,64.148
0.195,0.813,-0.394,80.994,16.724,45.471
0.209,0.802,-0.411,84.167,11.169,32.532
0.096,0.781,-0.447,89.844,10.864,15.991
-0.322,0.769,-0.413,95.032,-7.751,-13.428

-0.780,1.184,-0.675,82.336,-79.773,41.443
-0.465,1.263,-0.889,79.224,-63.904,70.862
-0.218,1.214,-0.919,57.922,-36.987,107.422
0.230,1.344,-0.905,42.664,-24.109,113.525
0.341,1.303,-0.778,33.325,-26.917,103.271
0.325,1.204,-0.552,22.095,-39.673,73.486
0.221,1.192,-0.500,24.048,-44.678,62.805
0.068,1.133,-0.474,29.480,-57.373,47.302
0.020,1.075,-0.455,33.203,-67.993,38.452
-0.146,1.048,-0.486,39.856,-91.370,26.672
-0.264,1.106,-0.503,41.809,-98.816,26.855
-0.285,1.174,-0.543,41.382,-102.661,47.546
-0.039,1.306,-0.759,37.048,-94.849,64.270
0.093,1.369,-0.821,28.992,-81.360,84.106
0.405,1.307,-0.825,3.479,-51.270,108.948
0.495,1.315,-0.826,-6.104,-47.852,106.079
0.483,1.202,-0.581,-26.306,-50.110,87.708
0.433,1.167,-0.508,-25.635,-54.138,78.247
0.326,1.098,-0.419,-23.743,-67.200,65.247
0.309,1.088,-0.426,-19.836,-76.111,58.838
0.246,1.099,-0.506,-13.367,-92.957,47.729
0.208,1.269,-0.617,-11.414,-96.008,44.495
0.157,1.051,-0.600,-15.320,-100.647,42.908
0.266,1.108,-0.680,-13.916,-91.614,46.204
0.352,1.196,-0.789,-19.165,-89.661,47.668
0.266,1.214,-0.840,-32.227,-83.069,42.236
0.247,1.210,-0.809,-41.626,-80.811,41.565
0.160,1.127,-0.637,-56.763,-77.637,42.786
0.172,1.093,-0.567,-59.326,-79.651,42.664
0.153,1.061,-0.510,-57.434,-95.032,35.095
0.163,1.051,-0.477,-56.030,-104.187,30.457
0.161,1.080,-0.535,-50.659,-121.948,17.090
0.171,1.089,-0.560,-48.950,-131.287,12.878
0.206,1.190,-0.692,-48.950,-141.541,9.705
0.230,1.248,-0.744,-50.659,-138.855,10.071
0.275,1.299,-0.761,-58.655,-134.155,10.315
0.241,1.327,-0.750,-64.636,-130.554,11.902
0.241,1.379,-0.771,-69.702,-126.160,13.184
0.179,1.369,-0.720,-82.031,-124.084,13.000
0.155,1.337,-0.657,-87.036,-125.916,12.024
0.093,1.351,-0.621,-87.952,-135.376,8.423
0.087,1.408,-0.629,-85.571,-144.409,5.371
0.093,1.453,-0.693,-81.543,-167.908,-4.272
0.027,1.535,-0.794,-78.613,-169.556,-4.761
-0.042,1.665,-1.082,-87.463,-154.114,17.090
0.005,1.739,-1.194,-101.013,-138.367,36.499
0.235,1.707,-1.281,-136.230,-105.469,71.350
0.347,1.630,-1.214,-155.701,-95.703,78.979
0.458,1.508,-1.008,-184.143,-92.773,75.623
0.464,1.445,-0.953,-193.970,-94.788,70.801
0.416,1.359,-0.806,-208.496,-92.773,69.824
0.497,1.315,-0.742,-213.928,-84.839,75.989
0.735,1.211,-0.640,-220.093,-66.406,84.229
0.805,1.155,-0.565,-223.145,-61.157,80.627
0.815,1.100,-0.401,-222.473,-51.331,74.402
0.853,1.057,-0.330,-221.130,-42.358,74.707
0.977,0.997,-0.278,-215.637,-22.705,77.637
1.023,0.942,-0.249,-212.891,-13.306,76.111
1.149,0.858,-0.233,-209.473,1.160,66.467
1.212,0.837,-0.201,-206.604,6.470,56.946
1.192,0.763,-0.129,-204.529,7.812,43.518
1.111,0.646,0.086,-197.571,10.559,19.409
1.101,0.630,0.148,-189.514,9.521,7.996
0.965,0.573,0.259,-166.016,0.671,-13.550
0.958,0.557,0.293,-154.419,-0.061,-17.700
0.956,0.558,0.262,-128.723,-4.333,-28.503
0.881,0.562,0.258,-118.652,-6.897,-34.119
0.851,0.573,0.201,-108.521,-6.775,-38.391
0.672,0.677,-0.020,-97.900,15.625,-31.494
0.582,0.691,-0.103,-101.563,39.917,-19.165
0.555,0.621,-0.007,-113.281,92.407,14.648
0.573,0.572,0.076,-116.455,113.342,27.039
0.456,0.505,0.289,-109.558,135.376,42.358
0.479,0.456,0.376,-101.563,138.977,48.462
0.570,0.384,0.494,-79.895,133.789,51.697
0.640,0.383,0.514,-63.599,129.456,50.415
0.697,0.371,0.487,-31.555,111.084,38.391
0.731,0.428,0.384,-17.273,101.013,29.968
0.812,0.482,0.257,-5.310,90.271,20.264
0.965,0.486,0.065,8.423,67.444,-7.812
0.972,0.543,-0.051,10.315,61.646,-25.024
0.902,0.567,-0.160,3.235,64.514,-52.673
0.685,0.564,-0.233,-2.930,77.454,-51.636
0.486,0.582,-0.286,-10.498,105.591,-47.546
0.322,0.541,-0.277,-24.475,155.457,-22.034
0.274,0.473,-0.177,-30.029,170.471,-11.414
0.262,0.294,0.068,-28.381,187.134,2.502
0.246,0.214,0.147,-21.057,190.552,3.296
0.112,0.134,0.275,2.319,167.480,-5.066
0.072,0.105,0.300,17.029,150.269,-10.315
0.087,0.135,0.223,30.884,132.690,-15.503
0.043,0.243,0.050,50.171,106.995,-25.391
0.018,0.282,0.009,54.321,98.328,-25.696
0.103,0.374,-0.122,60.120,105.164,-14.771
0.130,0.457,-0.208,60.059,110.413,-9.766
0.144,0.484,-0.233,49.744,116.028,-5.127
0.237,0.518,-0.241,42.175,119.324,-5.920
0.240,0.508,-0.219,37.781,120.422,-8.789
0.126,0.462,-0.159,30.518,116.882,-19.470
0.024,0.416,-0.081,28.809,114.746,-21.606
-0.198,0.391,0.030,30.701,111.328,-19.348
-0.273,0.382,0.105,32.654,108.276,-13.794
-0.311,0.434,0.215,37.903,103.760,0.732
-0.333,0.484,0.238,42.419,98.267,4.883
-0.327,0.478,0.269,46.265,90.698,9.155
-0.199,0.530,0.189,57.617,82.031,22.095
-0.114,0.554,0.115,63.293,80.200,27.832
-0.030,0.572,0.073,66.345,77.087,31.250
0.053,0.572,-0.043,69.031,75.500,31.189
0.060,0.563,-0.057,68.787,74.524,32.715
0.063,0.581,-0.191,68.787,76.782,34.241
0.070,0.582,-0.223,65.735,78.735,34.241
0.024,0.589,-0.213,59.753,82.153,35.645
-0.042,0.594,-0.097,58.411,86.243,39.551
-0.014,0.632,-0.049,58.777,90.332,44.006
-0.054,0.698,0.034,56.580,89.355,45.410
-0.083,0.718,0.063,57.861,87.280,46.021
-0.066,0.694,0.124,60.669,82.520,49.805
-0.027,0.696,0.110,63.293,78.674,52.063

0.244,1.382,-1.001,60.730,-24.292,82.336
0.382,1.397,-0.973,50.171,-17.212,81.787
0.423,1.343,-0.867,36.804,-18.127,75.439
0.354,1.243,-0.607,22.278,-22.400,58.960
0.306,1.187,-0.521,20.813,-26.184,52.124
0.221,1.078,-0.463,26.794,-46.570,35.522
0.156,1.021,-0.437,30.396,-62.500,24.963
-0.077,0.980,-0.500,44.556,-91.003,7.629
-0.200,1.045,-0.586,49.316,-102.417,4.639
-0.260,1.151,-0.653,52.002,-112.976,24.536
0.045,1.194,-0.795,50.415,-107.666,39.429
0.228,1.228,-0.906,47.913,-99.243,50.537
0.445,1.254,-0.978,29.846,-85.754,56.335
0.478,1.240,-0.932,20.142,-82.825,53.223
0.438,1.181,-0.825,3.540,-75.134,46.448
0.415,1.148,-0.804,0.122,-74.890,42.297
0.344,1.124,-0.765,-5.310,-85.693,30.151
0.184,1.086,-0.699,-6.042,-89.478,27.344
0.146,1.063,-0.633,-7.385,-91.675,27.588
0.008,1.075,-0.589,-6.653,-100.342,24.780
-0.052,1.122,-0.611,-5.798,-107.239,25.574
-0.080,1.174,-0.708,-8.606,-118.042,36.072
-0.052,1.185,-0.728,-12.024,-122.620,42.114
0.040,1.227,-0.838,-20.081,-120.850,59.448
0.089,1.252,-0.850,-26.550,-122.803,62.744
0.193,1.190,-0.839,-39.795,-134.583,64.270
0.171,1.233,-0.733,-44.861,-143.005,62.195
0.123,1.260,-0.849,-42.542,-148.560,55.664
0.068,1.292,-0.869,-44.922,-163.086,50.598
0.072,1.347,-0.969,-48.340,-178.406,50.232
0.129,1.379,-1.054,-51.086,-179.443,55.420
0.237,1.477,-1.197,-64.087,-168.335,68.787
0.389,1.499,-1.239,-75.134,-160.950,78.796
0.592,1.476,-1.200,-99.487,-142.639,88.867
0.879,1.418,-1.093,-109.314,-134.583,85.205
0.969,1.388,-1.037,-125.671,-131.897,62.012
0.914,1.267,-0.816,-133.789,-134.338,47.302
0.846,1.218,-0.742,-138.733,-137.451,25.269
0.676,1.144,-0.653,-138.794,-136.597,20.020
0.476,1.135,-0.632,-142.334,-132.507,14.404
0.429,1.135,-0.633,-141.663,-128.357,20.691
0.484,1.118,-0.586,-144.409,-115.906,38.635
0.599,1.145,-0.566,-144.836,-106.812,49.011
0.844,1.157,-0.623,-144.287,-90.881,61.218
0.965,1.152,-0.633,-148.071,-85.144,59.448
1.023,1.138,-0.601,-154.846,-74.829,44.556
