aX,aY,aZ,gX,gY,gZ
-0.760,0.990,-0.397,-98.694,106.750,-30.029
-0.729,0.950,-0.360,-100.464,109.863,-24.597
-0.735,0.880,-0.203,-90.515,105.774,-32.593
-0.782,0.909,-0.286,-69.641,94.666,-44.556
-0.731,0.917,-0.344,-62.683,87.891,-46.753
-0.699,0.909,-0.379,-56.030,79.651,-43.701
-0.707,0.938,-0.455,-53.589,79.773,-40.344
-0.663,0.983,-0.571,-55.664,82.520,-35.828
-0.599,0.977,-0.541,-67.139,66.345,-35.400
-0.640,0.936,-0.434,-72.327,46.387,-34.607
-0.648,0.885,-0.309,-78.003,36.499,-20.996
-0.604,0.886,-0.271,-78.918,38.269,-14.099
-0.503,0.867,-0.210,-76.965,38.147,-3.052
-0.474,0.876,-0.247,-73.853,41.443,-1.404
-0.396,0.929,-0.337,-67.322,33.630,-8.850
-0.369,0.944,-0.419,-70.435,23.071,-13.611
-0.372,0.904,-0.337,-72.449,0.122,-29.846
-0.377,0.888,-0.279,-71.838,-9.094,-37.048
-0.445,0.831,-0.232,-71.228,-23.254,-42.969
-0.476,0.779,-0.227,-71.289,-27.527,-44.861
-0.556,0.757,-0.242,-66.223,-31.311,-45.410
-0.577,0.876,-0.263,-66.284,-30.701,-40.344
-0.555,0.760,-0.223,-64.087,-38.452,-38.391
-0.517,0.781,-0.262,-59.937,-32.532,-30.518
-0.633,0.885,-0.370,-57.068,-33.325,-22.339
-0.596,0.723,-0.239,-58.228,-41.321,-20.020
-0.570,0.778,-0.270,-57.129,-42.175,-21.301
-0.680,0.918,-0.303,-55.969,-43.884,-18.860
-0.623,0.711,-0.182,-52.856,-58.655,-23.804
-0.580,0.757,-0.193,-47.546,-54.443,-18.188
-0.584,0.639,-0.262,-43.762,-59.509,-18.188
-0.527,0.706,-0.318,-39.001,-51.270,-11.108
-0.617,0.676,-0.299,-40.833,-46.936,-2.380
-0.668,0.689,-0.309,-40.283,-46.265,0.977
-0.698,0.678,-0.277,-42.053,-49.072,8.911
-0.679,0.697,-0.318,-43.823,-46.570,16.052
-0.574,0.659,-0.267,-49.316,-42.358,24.475
-0.552,0.646,-0.217,-49.500,-44.067,26.428
-0.525,0.502,-0.058,-44.739,-44.678,34.058
-0.630,0.569,-0.093,-37.842,-50.232,26.245
-0.592,0.485,-0.066,-23.865,-54.932,38.757
-0.631,0.579,-0.112,-16.602,-72.449,26.428
-0.583,0.645,-0.178,-11.414,-86.182,31.860
-0.557,0.572,-0.159,-13.367,-95.276,36.438
-0.554,0.645,-0.259,-16.907,-94.910,44.312
-0.544,0.589,-0.205,-21.057,-92.590,52.917
-0.498,0.586,-0.132,-23.132,-84.778,62.012
-0.448,0.611,-0.100,-23.865,-74.036,72.815
-0.358,0.624,-0.105,-24.536,-58.838,88.684
-0.286,0.628,-0.084,-22.156,-59.387,89.111
-0.217,0.624,-0.082,-16.724,-63.171,88.684
-0.128,0.637,-0.095,-14.587,-64.026,88.806
-0.162,0.651,-0.197,-13.489,-61.768,91.675
-0.114,0.698,-0.313,-12.939,-74.829,73.914
-0.097,0.639,-0.252,-20.569,-79.712,70.679
-0.339,0.850,-0.240,-28.076,-91.248,66.956
-0.232,0.522,-0.003,-31.189,-100.098,68.298
-0.234,0.617,-0.021,-26.855,-105.835,65.186
-0.210,0.604,0.006,-26.367,-100.220,74.524
-0.105,0.621,-0.068,-20.935,-79.529,88.501
-0.032,0.609,-0.112,-21.179,-71.777,93.506
0.070,0.594,-0.166,-21.606,-66.650,93.750

0.537,1.092,-0.894,58.960,6.287,-70.435
0.518,1.106,-0.861,57.861,-4.639,-81.055
0.466,1.101,-0.851,58.350,-12.756,-89.111
0.256,1.151,-0.994,54.504,0.488,-88.501
0.156,1.165,-1.067,47.729,9.766,-86.121
0.036,1.207,-1.171,35.767,11.719,-82.520
0.036,1.232,-1.211,27.588,12.573,-79.041
-0.492,1.016,-1.469,27.100,20.020,-110.229
0.163,1.292,-1.055,11.963,6.348,-61.890
0.248,1.266,-0.942,-5.188,19.043,-38.879
0.184,1.278,-0.992,-14.221,37.292,-52.429
0.310,1.340,-0.981,-15.015,21.301,-50.476
0.481,1.205,-0.806,-26.123,6.775,-43.396
0.490,1.228,-0.836,-21.729,13.489,-55.054
0.502,1.201,-0.827,-25.146,1.465,-85.449
0.494,1.229,-0.795,-27.283,-12.695,-106.323
0.374,1.170,-0.802,-33.936,-31.799,-134.399
0.211,1.156,-0.868,-33.203,-35.767,-151.245
0.149,1.181,-0.881,-43.762,-28.809,-153.503
0.076,1.134,-0.844,-48.462,-24.536,-158.936
0.130,1.171,-0.874,-51.575,-3.845,-152.588
0.049,1.159,-0.914,-54.138,3.479,-152.344
-0.140,1.086,-0.901,-69.763,6.592,-139.832
0.109,1.106,-0.703,-84.595,9.094,-124.268
0.043,1.079,-0.735,-87.524,14.893,-140.625
-0.062,1.067,-0.699,-87.280,7.080,-144.287
-0.085,1.014,-0.686,-86.975,0.610,-145.203
-0.284,0.960,-0.640,-83.557,-2.686,-148.071
-0.410,0.933,-0.680,-83.740,2.625,-140.808
-0.497,0.949,-0.781,-87.158,19.714,-116.943
-0.529,0.967,-0.894,-89.661,29.602,-111.023
